"STATUS_0","Incomplete or invalid"
"STATUS_1","Cancelled by client"
"STATUS_2","Authorization refused"
"STATUS_3",""
"STATUS_4","Order stored"
"STATUS_40","Stored waiting external result"
"STATUS_41","Waiting client payment"
"STATUS_46","Waiting (for identification)"
"STATUS_5","Authorized"

"STATUS_50","Authorized waiting external result"
"STATUS_51","Authorization waiting"
"STATUS_52","Authorization not known"
"STATUS_55","Stand-by"
"STATUS_56","OK with scheduled payments"
"STATUS_57","Error in scheduled payments"
"STATUS_59","Authoriz. to get manually"

"STATUS_6","Authorized and cancelled"
"STATUS_61","Author. deletion waiting"
"STATUS_62","Author. deletion uncertain"
"STATUS_63","Author. deletion refused"
"STATUS_64","Authorized and cancelled"

"STATUS_7","Payment deleted"
"STATUS_71","Payment deletion pending"
"STATUS_72","Payment deletion uncertain"
"STATUS_73","Payment deletion refused"
"STATUS_74","Payment deleted"
"STATUS_75","Deletion processed by merchant"

"STATUS_8","Refund"
"STATUS_81","Refund pending"
"STATUS_82","Refund uncertain"
"STATUS_83","Refund refused"
"STATUS_84","Payment declined by the acquirer"
"STATUS_85","Refund processed by merchant"

"STATUS_9","Payment requested"
"STATUS_91","Payment processing"
"STATUS_92","Payment uncertain"
"STATUS_93","Payment refused"
"STATUS_94","Refund declined by the acquirer"
"STATUS_95","Payment processed by merchant"
"STATUS_99","Being processed"

"Hash is not valid","Hash is not valid"
"Order is not valid","Order is not valid"
"Process outgoing transaction","Process outgoing transaction"
"Start Ingenico Payment Services processing","Start Ingenico Payment Services processing"
"Your payment information was declined. Please select another payment method.","Your payment information was declined. Please select another payment method."
"Order canceled on Ingenico Payment Services side. Status: %s, Payment ID: %s.","Order canceled on Ingenico Payment Services side. Status: %s, Payment ID: %s."
"Account number must contain numbers only.","Account number must contain numbers only."
"Bank code must contain numbers only.","Bank code must contain numbers only."
"Account Holder must be filled in.","Account Holder must be filled in."
"Process outgoing transaction","Process outgoing transaction"
"Capture process complete","Capture process complete"
"The capture has already been invoiced.","The capture has already been invoiced."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Partial capture process complete","Partial capture process complete"
"Invoice ""%s"" was created automatically. Ingenico Payment Services Status: %s.","Invoice ""%s"" was created automatically. Ingenico Payment Services Status: %s."
"Start Ingenico Payment Services refund request","Start Ingenico Payment Services refund request"
"Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services Status: %s.","Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services Status: %s."
"Creditmemo ""%s"" was created automatically. Ingenico Payment Services Status: %s.","Creditmemo ""%s"" was created automatically. Ingenico Payment Services Status: %s."
"Could not perform actions for Ingenico Payment Services status: %s.","Could not perform actions for Ingenico Payment Services status: %s."
"Refund is waiting or uncertain. Ingenico Payment Services status: %s.","Refund is waiting or uncertain. Ingenico Payment Services status: %s."
"Refund was refused. Automatic creation failed. Ingenico Payment Services status: %s.","Refund was refused. Automatic creation failed. Ingenico Payment Services status: %s."
"Capture is waiting or uncertain. Ingenico Payment Services status: %s.","Capture is waiting or uncertain. Ingenico Payment Services status: %s."
"Capture was refused. Automatic creation failed. Ingenico Payment Services status: %s.","Capture was refused. Automatic creation failed. Ingenico Payment Services status: %s."
"Void is waiting or uncertain. Ingenico Payment Services status: %s.","Void is waiting or uncertain. Ingenico Payment Services status: %s."
"Void was refused. Automatic creation failed. Ingenico Payment Services status: %s.","Void was refused. Automatic creation failed. Ingenico Payment Services status: %s."
"Authorization status changed. Current Ingenico Payment Services status is: %s.","Authorization status changed. Current Ingenico Payment Services status is: %s."
"Unknown Ingenico Payment Services status: %s.","Unknown Ingenico Payment Services status: %s."
